계약일자,계약년월,계약년도,계약월,자치구,법정동,강남3구여부,전용면적,층,홈페이지유무,사용허가여부,연식,브랜드등급,아파트이름길이,지하철최단거리,반경_1km_지하철역_수,반경_500m_지하철역_수,반경_300m_지하철역_수,버스최단거리,반경_1km_버스정류장_수,반경_500m_버스정류장_수,반경_300m_버스정류장_수,총인구수,성비(남/여),loanrate_1m,loanrate_3m,loanrate_6m,loanrate_12m,target,isTest
2017-12-08,201712,2017,12,강남구,개포동,1,79.97,3,0,1,30,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,556164,0.9196,3.39,3.32,3.29,3.24,124000.0,0
2017-12-22,201712,2017,12,강남구,개포동,1,79.97,4,0,1,30,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,556164,0.9196,3.39,3.32,3.29,3.24,123500.0,0
2017-12-28,201712,2017,12,강남구,개포동,1,54.98,5,0,1,30,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,556164,0.9196,3.39,3.32,3.29,3.24,91500.0,0
2018-01-03,201801,2018,1,강남구,개포동,1,79.97,4,0,1,31,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,542364,0.9182,3.42,3.38,3.32,3.27,130000.0,0
2018-01-08,201801,2018,1,강남구,개포동,1,79.97,2,0,1,31,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,542364,0.9182,3.42,3.38,3.32,3.27,117000.0,0
2018-01-11,201801,2018,1,강남구,개포동,1,79.97,1,0,1,31,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,542364,0.9182,3.42,3.38,3.32,3.27,130000.0,0
2018-03-19,201803,2018,3,강남구,개포동,1,79.97,2,0,1,31,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,542364,0.9182,3.46,3.45,3.38,3.31,139500.0,0
2018-04-05,201804,2018,4,강남구,개포동,1,54.98,5,0,1,31,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,542364,0.9182,3.45,3.46,3.42,3.33,107500.0,0
2018-06-28,201806,2018,6,강남구,개포동,1,79.97,3,0,1,31,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,542364,0.9182,3.49,3.47,3.46,3.38,145000.0,0
2018-07-09,201807,2018,7,강남구,개포동,1,54.98,3,0,1,31,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,542364,0.9182,3.46,3.47,3.47,3.4,112000.0,0
2018-08-22,201808,2018,8,강남구,개포동,1,79.97,4,0,1,31,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,542364,0.9182,3.44,3.46,3.46,3.41,160000.0,0
2018-09-28,201809,2018,9,강남구,개포동,1,79.97,5,0,1,31,기타,6,1.1295361146970444,0,0,0,0.0607867721156945,58,13,7,542364,0.9182,3.36,3.42,3.44,3.42,160000.0,0
2017-10-13,201710,2017,10,강남구,개포동,1,133.46,1,0,1,33,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,556164,0.9196,3.24,3.27,3.25,3.18,152000.0,0
2017-11-11,201711,2017,11,강남구,개포동,1,161.0,8,0,1,33,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,556164,0.9196,3.33,3.28,3.27,3.21,182000.0,0
2017-11-27,201711,2017,11,강남구,개포동,1,161.0,8,0,1,33,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,556164,0.9196,3.33,3.28,3.27,3.21,170000.0,0
2017-12-13,201712,2017,12,강남구,개포동,1,161.0,6,0,1,33,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,556164,0.9196,3.39,3.32,3.29,3.24,185000.0,0
2017-12-16,201712,2017,12,강남구,개포동,1,133.46,10,0,1,33,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,556164,0.9196,3.39,3.32,3.29,3.24,175000.0,0
2018-01-10,201801,2018,1,강남구,개포동,1,161.0,12,0,1,34,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,542364,0.9182,3.42,3.38,3.32,3.27,210000.0,0
2018-02-03,201802,2018,2,강남구,개포동,1,161.0,14,0,1,34,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,542364,0.9182,3.47,3.43,3.36,3.29,225000.0,0
2018-07-14,201807,2018,7,강남구,개포동,1,104.43,11,0,1,34,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,542364,0.9182,3.46,3.47,3.47,3.4,160000.0,0
2018-07-20,201807,2018,7,강남구,개포동,1,133.46,5,0,1,34,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,542364,0.9182,3.46,3.47,3.47,3.4,160000.0,0
2018-07-30,201807,2018,7,강남구,개포동,1,161.0,5,0,1,34,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,542364,0.9182,3.46,3.47,3.47,3.4,234000.0,0
2018-08-16,201808,2018,8,강남구,개포동,1,104.43,10,0,1,34,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,542364,0.9182,3.44,3.46,3.46,3.41,170000.0,0
2018-08-16,201808,2018,8,강남구,개포동,1,104.43,12,0,1,34,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,542364,0.9182,3.44,3.46,3.46,3.41,165000.0,0
2018-08-21,201808,2018,8,강남구,개포동,1,161.0,15,0,1,34,기타,6,0.4137836490451597,4,1,0,0.0984280751110751,77,19,9,542364,0.9182,3.44,3.46,3.46,3.41,240000.0,0
2017-10-13,201710,2017,10,강남구,개포동,1,153.8,19,0,1,13,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,556164,0.9196,3.24,3.27,3.25,3.18,146000.0,0
2017-10-25,201710,2017,10,강남구,개포동,1,170.32,2,0,1,13,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,556164,0.9196,3.24,3.27,3.25,3.18,144500.0,0
2017-11-06,201711,2017,11,강남구,개포동,1,134.3,4,0,1,13,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,556164,0.9196,3.33,3.28,3.27,3.21,152000.0,0
2017-11-07,201711,2017,11,강남구,개포동,1,153.8,1,0,1,13,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,556164,0.9196,3.33,3.28,3.27,3.21,142000.0,0
2018-01-02,201801,2018,1,강남구,개포동,1,170.32,16,0,1,14,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,542364,0.9182,3.42,3.38,3.32,3.27,162000.0,0
2018-01-19,201801,2018,1,강남구,개포동,1,134.3,3,0,1,14,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,542364,0.9182,3.42,3.38,3.32,3.27,153500.0,0
2018-01-25,201801,2018,1,강남구,개포동,1,170.32,15,0,1,14,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,542364,0.9182,3.42,3.38,3.32,3.27,175000.0,0
2018-03-19,201803,2018,3,강남구,개포동,1,134.3,18,0,1,14,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,542364,0.9182,3.46,3.45,3.38,3.31,158000.0,0
2018-04-14,201804,2018,4,강남구,개포동,1,168.42,5,0,1,14,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,542364,0.9182,3.45,3.46,3.42,3.33,171000.0,0
2018-06-06,201806,2018,6,강남구,개포동,1,134.3,8,0,1,14,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,542364,0.9182,3.49,3.47,3.46,3.38,162000.0,0
2018-08-10,201808,2018,8,강남구,개포동,1,134.3,8,0,1,14,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,542364,0.9182,3.44,3.46,3.46,3.41,175000.0,0
2018-08-20,201808,2018,8,강남구,개포동,1,153.8,12,0,1,14,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,542364,0.9182,3.44,3.46,3.46,3.41,200000.0,0
2018-08-31,201808,2018,8,강남구,개포동,1,134.3,21,0,1,14,기타,4,0.401030554450375,3,1,0,0.2029816900930462,49,10,2,542364,0.9182,3.44,3.46,3.46,3.41,179000.0,0
